img,What_does_the_text_on_image_say?,How_many_people_are_in_the_image?,Can_you_summarize_the_image_in_brief?,task
1361008261760245764.jpg,biden,There are no people in the image.,president joe biden speaks at a podium in the white house,gun_control
1358203773496262656.jpg,Nullify Everything Repudiation of Unconstitutional Casts,There are no people in the image.,An image of a statue of liberty with the words nullify everything on it.,gun_control
1362065582930149379.jpg,This state could become a second amendment sanctuary,There are two people in the image.,this state could become a second amendment sanctuary,gun_control
1332119362082279424.jpg,3d printer,There are no people in the image.,"The image shows a 3D printer attached to a table, with a cooling fan attached to the top of the machine. The cooling fan may be used to cool down the machine, or it may be used to prevent overheating and damage to the parts of the machine. The cooling fan may also be used to protect the parts of the machine from dust and other contaminants.",gun_control
1374709226732457986.jpg,Biden administration asks supreme court to let cops homes and guns enter,There are no people in the image.,Biden administration asks supreme court to let cops homes and guns,gun_control
1374725248550076419.jpg,Congress to take decisive action,There are no people in the image.,a cartoon of a chicken holding a gun,gun_control
1323865629749846016.jpg,gun sense champion chris papas elected to the u s house,There are 2 people in the image.,gun sense champion chris papas has been elected to the u s house,gun_control
1348463854942965764.jpg,book burning join your neighbors,There are several people in the image.,a black and white poster for book burning,gun_control
1336027200714313737.jpg,a cartoon of two men with guns coming to the moon,There are two people in the image.,a cartoon showing two men talking about guns,gun_control
1348707625106436097.jpg,nothing,There are no people in the image.,"The image shows a wooden table with a gun, a pistol, and a bottle of ammunition. There is also a television on the table, which could be used to watch a movie or play a game.",gun_control
1372192708341637121.jpg,The text on the image reads 'no man is an island'.,There are four people in the image.,a screen capture of a video call with several women in red shirts,gun_control
1357931603872288768.jpg,free speech project,There are two people in the image.,An image of a woman and a child holding hands with a gun in their hands,gun_control
1370298806705606659.jpg,Free t shirt for 2nd amendment supporters,There are four people in the image.,free t shirt for 2nd amendment supporters,gun_control
1346983759376125953.jpg,nothing,There are several people in the image.,"The image shows a group of people sitting in a room with a man lying on the floor. There is also a person wearing a face mask, which could be a sign of a medical emergency or an accident. There are several bags placed on the floor near the man's body, suggesting that he may have been injured during the incident.",gun_control
1369737030813425664.jpg,The text on the image reads arizon.,There is one person in the image.,"The image shows a woman wearing a face mask with the word ""Arizona"" printed on it. The woman is wearing sunglasses and a pair of sunglasses to protect her eyes from the sun.",gun_control
1351300522599444486.jpg,south los homicides,There are two people in the image.,an infographic showing the number of homicides in south los angeles,gun_control
1375832482541670403.jpg,"we're not seeing reasons for gun control, we're seeing reasons to carry",There are no people in the image.,"a black background with the words we're not seeing reasons for gun control, we're seeing reasons to carry",gun_control
1363881482389909506.jpg,Moms Demand Action for Gun Sense in America,There are two people in the image.,"A woman wearing glasses is holding a coffee mug that reads ""Moms Demand Action for Gun Sense in America"". She is standing in front of a living room with a vase of flowers.",gun_control
1354545123246419969.jpg,after surviving gun violence this is 11% of the gun harassment deal,There are two people in the image.,a tweet from david hogg with the text 'after surviving gun violence this is 11% of the gun harassment',gun_control
1372880585706852352.jpg,"No matter how you feel about it, you should educate yourself with the historical truths of distressed populations",There are no people in the image.,"a poster that says no matter how you feel about guns, you should educate yourself with the historical truths of disarmed populations",gun_control
1370381053823758336.jpg,joseph stalin mac zeng,There are four people in the image.,a screenshot of a facebook page with different memes,gun_control
1353830968675586054.jpg,don't call tests today don't need,There are two people in the image.,a screenshot of a text conversation between two people,gun_control
1320088254113320960.jpg,The text on the image reads 'beef face'.,There are two people in the image.,"The image features two men wearing face masks with tropical designs. They are standing next to a car in a park, which may indicate that they are protecting themselves from the sun or other sources of UV rays.",gun_control
1343215497333059586.jpg,semar,There are seven people in the image.,The image shows a group of men posing in front of a display of firearms.,gun_control
1346185734684872707.jpg,hand holding a gun,There are two people in the image.,an image of a hand holding a gun in a colorful background,gun_control
1354108124047675392.jpg,bang,There are no people in the image.,a revolver with a bang sign attached to it on a white background stock photo,gun_control
1364865108103491585.jpg,the constitution is not a document for the government to restrain the people,There are no people in the image.,patrick henry quotes the constitution is not a document for the government to restrain the people,gun_control
1369651557285982214.jpg,84% voters support requiring all gun purchasers to go through background check,There are two people in the image.,84 percent of voters support requiring all gun purchasers to go through background check,gun_control
1318939979540799488.jpg,nyag and giffords,There are two people in the image.,"The image depicts a woman with a baby stroller in front of an advertisement for brady pc, nygav, and giffords.",gun_control
1369688265457082369.jpg,i want to be a part of the solution,There are six people in the image.,"The image features a group of people wearing red shirts and standing together in a room. They are posing for a photo, indicating their support for a cause or organization. There is a clock visible in the background, which may indicate the location of the meeting or event.",gun_control
1374801311712038917.jpg,Cutting Veterans Benefits to Pay Illegal Alien Welfare,There are two people in the image.,a man in a suit with the words cutting veterans benefits pay for illegal alien welfare,gun_control
1365369885216313344.jpg,"You don't need an aas, you need two aas",There are no people in the image.,"a shirt that says you don't need an aas, you need two.",gun_control
1349398919109890053.jpg,the 2nd amendment,There are no people in the image.,The 2nd amendment states that a well-regulated militia being necessary for the security of the state and the right of the people to be infringed.,gun_control
1372180868404482052.jpg,oms demand action,There is one person in the image.,"The image features a woman wearing a red shirt with the words ""Oms Demand Action"" on it. She is sitting at a desk with a laptop in front of her, working on a project.",gun_control
1375923983225290753.jpg,also someone who has machining and 3d printing experience,There are no people in the image.,a tweet from christopher f. burnett,gun_control
1349182723521449992.jpg,u s capitol,There are three people in the image.,"The image depicts a group of soldiers walking through a fence near the U.S. Capitol building. The soldiers are wearing military uniforms and are likely part of a military unit, possibly a special forces unit or a special operations unit. The soldiers may have been deployed to protect the building, or they may be on their way to another location.",gun_control
1367318945846472709.jpg,man holding a rifle in a cave,There is one person in the image.,"The image shows a man crouching down in a cave with a rifle in his hand. The man is likely to be a member of the armed forces, as he is wearing a military uniform and carrying a weapon.",gun_control
1374544916186009603.jpg,The text on the image says make it stop.,There are no people in the image.,"An image of a gun with the text ""make it stop"" is displayed on a white background.",gun_control
1361334649470021634.jpg,a person without skills can turn an infinitely functional frame for fem tools less than an hour,There are no people in the image.,a person's gunsmithing skills can turn an inexhaustible functional frame for fen tools less work,gun_control
1344242981348507649.jpg,"The text on the image reads, ""The technology has changed your rights remain the same.""",There are no people in the image.,"The image depicts a revolver on a target with the words, ""The technology has changed, your rights remain the same."" The image is part of a promotional campaign for the company, Pale Firearms.",gun_control
1356401031333220352.jpg,Liberalism is hypocritical intolerance,There are no people in the image.,a white background with the words liberalism is hypocritical intolerance,gun_control
1372383058788241408.jpg,Stop api hate,There are no people in the image.,a black background with the words stop api hate written in yellow on it,gun_control
1372380359539752961.jpg,moose's demand action for peace in america,There are no people in the image.,"The image features a dog sleeping on a bed next to a shirt that reads ""Women Demand Action"" and a red shirt that reads ""Make America Great Again"".",gun_control
1322504869471813634.jpg,a man is holding a gun in a gun shop,There are no people in the image.,A man in a white shirt is holding an AR-15 rifle in a gun store. He is aiming the gun at a target on the wall behind him.,gun_control
1321244809772912642.jpg,gun range,There is one person in the image.,"The image depicts a man holding a remote control car in a field at night. The man is holding the remote control car in front of a sign that reads ""No Parking"" or ""No Trespassing"". This sign indicates that the man is not allowed to park his car in the area, which could be a violation of the law.",gun_control
1367643381690552322.jpg,The text on the image reads 'bowl'.,There are no people in the image.,An image of a bow and arrow on a red background.,gun_control
1338521073961365506.jpg,children,There are a total of 16 people in the image.,The image shows a collage of children with different facial expressions and hairstyles. The children are all smiling and looking at the camera.,gun_control
1370382136201547781.jpg,Active Campaigns for Racial Laws and Restrictions,There are two people in the image.,"The image depicts a woman in a red shirt standing in front of a sign that reads ""Activist Campaigns for Racial Laws and Racial Discrimination"" with the text: ""Activist Campaigns for Racial Laws and Racial Discrimination"" on the right side of the image.",gun_control
1338659411175280640.jpg,kung pao chicken,There are two people in the image.,a woman squats down next to a bucket of ice cream,gun_control
1367622645194264578.jpg,text passbc to 3333 to tell congress pass universal background checks on gun sales,There are no people in the image.,a green sign that reads text passubc to 3333 to tell congress to pass universal background checks on gun sales,gun_control
1326491157048778753.jpg,a man is holding a gun in a gun store,There are no people in the image.,"The man in the white shirt is holding an AR-15 rifle in a gun store. He is aiming the gun at the target, indicating that he is ready to shoot.",gun_control
1331996260048531459.jpg,biden,There are no people in the image.,The image shows a man with his fists raised in the air while speaking into a microphone at a political event.,gun_control
1366780362085572609.jpg,"The text on the image reads ""amanda gilbert acton"".",There are two people in the image.,The image shows a woman in a red shirt taking a selfie in front of a refrigerator. She is wearing glasses and is smiling at the camera.,gun_control
1335722441746870272.jpg,Criminals gun control,There are two people in the image.,"The image depicts a young man on a cell phone while standing next to a fence in a park. He is likely talking about criminals, gun control, or other related topics.",gun_control
1367929624345317379.jpg,"gun control when the government, human",There are two people in the image.,a man with a gun and a quote about gun control,gun_control
1324316819944022016.jpg,a man is holding a gun in a gun shop,There are no people in the image.,A man in a white shirt is holding an AR-15 rifle in a gun store. He is aiming the gun at a target on the wall behind him.,gun_control
1363919021817683975.jpg,end gun violence,There are no people in the image.,an ad for gun reform with a picture of joe biden,gun_control
1335737550443433984.jpg,there are two types of people who support gun control,There are two types of people who support gun control in the image.,there are two types of people who support gun control,gun_control
1375201296999927811.jpg,ar 15 stands for amarillo rifle design designed in 1967 amarillo does not automatic rifle,There are no people in the image.,a poster that says ar 15 stands for ar-15 rifle design designed in 1977,gun_control
1352343923000225792.jpg,forever in our rheaven,There are four people in the image.,A poster with the words forever in our hearts and rheaven written on it.,gun_control
1358811759738519554.jpg,left,There are two people in the image.,"The image features a woman sitting in front of a laptop computer with a red shirt. She is smiling and holding a pen, indicating that she is enjoying her work.",gun_control
1313856367233396737.jpg,ncs firearm background checks month-year,There are no people in the image.,ncs firearm background checks,gun_control
1364033862918094848.jpg,md teen say intervention saved his life after being shot,There are no people in the image.,a photo of a man with a tattoo that reads md teen say intervention saved his life at home,gun_control
1336339820428238856.jpg,Navigating the No Profits,There are no people in the image.,a compass with the words navigating the no profits,gun_control
1322867250991304705.jpg,a man is holding a gun in a gun shop,There are no people in the image.,A man in a white shirt is holding an AR-15 rifle in a gun store. He is aiming the gun at a target on the wall behind him.,gun_control
1315467618518806528.jpg,zoo,There are three people in the image.,"The image shows a television screen with three people on a video conference call. One of the people is wearing a suit, while the other is in a business suit. They are both speaking into the camera, which indicates that they are participating in a video conference. This type of video conference can be used for a variety of purposes, such as conducting interviews, conducting research, or discussing important issues.",gun_control
1375161020637925380.jpg,this week's guide to senate,There are no people in the image.,a white house press release with a bulleted list of actions that the president has taken,gun_control
1358415780698857472.jpg,"an armed people keeps government controlled but disgusted, but tyranny takes hold",There are no people in the image.,"an armed people keeps government controlled, but destroyed, but tyranny takes hold",gun_control
1374380780059684880.jpg,mass shootings with a 15,There are no people in the image.,an advertisement for mass shootings with ar-15 rifles in colorado,gun_control
1352478655864217600.jpg,will come for your deer hunting next they will call a sniper next,There are no people in the image.,a rifle is sitting on the ground,gun_control
1370040795902980096.jpg,gun buyers background checks,There are several people in the image.,a screen shot of the house of representatives showing gun buyers background checks,gun_control
1370060326931152904.jpg,Background background lives checks saves lives,There are no people in the image.,"An image of a background with the words ""checks save lives"" and ""background background"" on it.",gun_control
1346829282493001730.jpg,Firearm Licenses Government's Most Dangerous Trap,There are no people in the image.,government's most dangerous trap,gun_control
1323841854421557249.jpg,Congratulations Katherine Clark Massachusetts 5th congressional district,There are two people in the image.,congratulations to kathleen clark of massachusetts fifth congressional district,gun_control
1374434991447281664.jpg,guns are killing america never again poster,There are no people in the image.,guns are killing america never again poster,gun_control
1314264056983965699.jpg,"after effects of gunshots are pre-existing conditions, protect our health care",There are no people in the image.,a poster with the words protect our health care after the effects of gunshots are considered pre-existing conditions,gun_control
1368210341851758597.jpg,u.s. house of representatives,There are several people in the image.,Several men wearing face masks are standing in the middle of a room with other people sitting around them.,gun_control
1339440670273105920.jpg,firearm dealers should be able to sell guns without seeing the buyer or verifying a signature,There are no people in the image.,gun dealers should be able to sell guns without seeing the buyer or verifying a signature,gun_control
1362088329928466436.jpg,no text,There are ten people in the image.,"The image shows a group of people on a video conference call, all wearing red shirts. They are all sitting in front of a computer screen with a white background. There is a microphone on the screen, which can be used to communicate with the other participants.",gun_control
1357804885899624449.jpg,no usa,There are no people in the image.,an illustration of a no gun sign on a white background,gun_control
1375537874750300166.jpg,nothing,There are no people in the image.,"The image features a blue plastic bag with a pair of scissors and a pair of shoes on the ground. There is also a person's footprint on the ground, suggesting that someone is walking around the area.",gun_control
1375568644017639428.jpg,Together we can stop gun carnage,There are no people in the image.,"Several posters and t-shirts with the message ""together we can stop gun carnage"" are shown.",gun_control
1334152920099553280.jpg,the text on image says nothing,There are no people in the image.,"The image features a gun and a gavel on top of an American flag. The gavel is likely to be used in a court of law, as it is a tool that can be used to strike a blow or strike a person with a weapon, such as a gun or a knife. The gavel is likely to be used in a court of law, as it is a tool that can be used to strike a blow or strike a person with a weapon, such as a gun or a knife. The gavel is likely to be used in a court of law, as it is a tool that can be used to strike a blow or strike a person with a weapon, such as a gun or a knife. Therefore, the gavel is likely to be used in a court of law, as it is a tool that can be used to strike a blow or strike a person with a weapon, such as a gun or a knife.",gun_control
1325155319522054145.jpg,Madam Vice President,There is one person in the image.,an image of a woman standing in front of an american flag with the text madam vice president,gun_control
1344819549821169665.jpg,i will not be silenced,There are several people in the image.,"The image shows a collage of people wearing red and holding signs in support of a cause or campaign. There are many people in the collage, some of whom are wearing red face masks, while others are wearing red t-shirts. Some of the people in the collage are wearing red shirts, while others are wearing white t-shirts. It is likely that the people in the collage are part of a larger group of people who are supporting a cause or campaign.",gun_control
1317053939544707073.jpg,a man is holding a gun in a gun shop,There are no people in the image.,A man in a white shirt is holding an AR-15 rifle in a gun store. He is aiming the gun at a target on the wall behind him.,gun_control
1321880158890991617.jpg,a man is taking a picture of firearms in a room,There are two people in the image.,a man is taking pictures of guns on a table,gun_control
1323976696102637569.jpg,Congratulations Pramila Jayapal for winning Washington's 13th congressional district,There are two people in the image.,pramila jayapal was elected to the washington state senate,gun_control
1316424558359048200.jpg,Organizations of the Week,There are two people in the image.,"Organizations of the week are highlighted in a pink background with a man holding a flag and a superhero. The image shows an organization called Everyone for Gas Safety, which is the largest domestic violence prevention organization in the United States.",gun_control
1338559332401733638.jpg,children,There are a total of 16 people in the image.,The image shows a collage of children with different hairstyles and facial expressions.,gun_control
1356467456315961346.jpg,if you know there are systems that hold guns,There are no people in the image.,a screen shot of a phone with a message on it,gun_control
1356592556570783744.jpg,test for the bbi,There are no people in the image.,a document that contains information about firearms and ammunition,gun_control
1361493928466391043.jpg,Springfield Armory Saint Victor,There are no people in the image.,springfield armory saint victoria screenshot,gun_control
1344301574437404676.jpg,Do not enter crime scene Do not enter crime scene do not enter crime scene do not enter crime scene do not enter crime scene do not enter crime scene do not enter crime scene do not enter crime scene do not enter crime scene do not enter crime scene do not enter crime scene do not enter crime scene do not enter crime scene do not enter crime scene do not enter crime scene do not enter crime scene do not enter crime scene do not enter crime scene do not enter crime scene do not enter crime scene do not enter crime scene do not enter crime scene do not enter crime scene do not enter crime scene do not enter crime scene do not enter crime scene do not enter crime scene do not enter crime scene do not enter crime scene do not enter crime scene do not enter crime scene do not enter crime scene do not enter crime scene do not enter crime scene do not enter crime scene do not enter crime scene do not enter crime scene do not enter crime scene do not enter crime scene do not enter crime scene do not enter crime scene do not enter crime scene do not enter crime scene do not enter crime scene do not enter crime scene do not enter crime scene do not enter crime scene do not enter crime scene do not enter crime scene do not enter crime scene do not enter crime scene,There are no people in the image.,"The image depicts a crime scene with a dead body drawn on the ground. The background of the image includes a yellow caution tape with a message that reads, ""Do not cross the yellow line."" The message conveys the importance of following the yellow line, as well as the importance of maintaining a safe environment for pedestrians and vehicular traffic.",gun_control
1370725799767248902.jpg,School Zone Welcome Carry Concealed Carry Permit Holders in Office,There are no people in the image.,a sign that says school zone,gun_control
1364724222627639296.jpg,biden,There is one person in the image.,joe biden speaks at a podium in front of the white house,gun_control
1352292373339009025.jpg,fathers should sing songs that show up,There are two people in the image.,a man kissing an older man with the words fathers should sing songs that show up compassion songs that will make men feel good about themselves,gun_control
1375786523560411142.jpg,Constitutional Carry,There are no people in the image.,a gun with the words constitutional carry on it,gun_control
1331389609566220290.jpg,You vote matters,There are no people in the image.,"A stack of cards with a dog wearing a red, white, and blue hat sits on a table. Some of the cards include the phrase, ""Your vote matters"", as well as a picture of a dog wearing a red, white, and blue hat.",gun_control
1343486676916719616.jpg,The text on the image reads '7090'.,There is one person in the image.,a black and white photo of a man holding a mugshot,gun_control
1352527240555339778.jpg,a cop can kill you having a gun you don't actually have the right to bear arms,There are no people in the image.,a black and white photo of a police officer with a gun,gun_control
1374153920864473091.jpg,"pennsylvania fl bought this gun backpack event, one demonstrated that they worked $2,000",There are three people in the image.,pensacola police bought a gun at a gun buyback event on tuesday,gun_control
1364324317698400256.jpg,bullets,There are no people in the image.,"The image shows a group of bullets on a wooden table. The bullets are in various shapes and sizes, indicating the different types of bullets that can be used for different purposes. The bullets could be used for hunting, target practice, or self-defense.",gun_control
1356651894576398337.jpg,kelly,There are two people in the image.,"Two women are standing next to each other, one wearing a hat and the other with glasses and a microphone.",gun_control
1323981778554675203.jpg,Seen time schmidt mseo victory!,There are two people in the image.,an image of a woman with the text victory! sean time smith mseo,gun_control
1353187181859233793.jpg,so trying to price income people,There are no people in the image.,a tv news show with a headline that says so trying to price income from people who don't have it,gun_control
1318161552315482112.jpg,can i be a commodore chief,There are no people in the image.,a poster with a picture of a man digging a hole,gun_control
1351210198329937921.jpg,National Rifle Association,There are no people in the image.,"The logo of the National Rifle Association features an eagle with a gun in its beak and the words ""National Rifle Association"" written on it.",gun_control
1369509077655621632.jpg,nothing,There is one person in the image.,"The image features a man standing in the middle of a dirt road near a river or lake. He is wearing a plaid shirt and a hat, as well as a pair of jeans and a pair of sneakers. The man may be posing for a photo or taking a selfie, depending on the context of the image.",gun_control
1367571064633446400.jpg,ar - 15,There are no people in the image.,"A black and white image of an AR-15 rifle laying on a dark surface. The rifle is equipped with a scope, which can be used to improve the accuracy or range of the weapon.",gun_control
1369374117628149769.jpg,the text on image says nothing,There is one person in the image.,"The image shows a man in a suit and tie sitting at a desk in an office. He is wearing a tie and has a business suit on. There is a monitor, a keyboard, and a mouse on the desk.",gun_control
1357711815367614465.jpg,we the people,There are no people in the image.,"An image of a gun on top of an american flag with the words ""we the people"" written on it.",gun_control
1349706761033420801.jpg,of course manufactured crisis you bloody twins,There are no people in the image.,a poster with a picture of a man with a mustache,gun_control
1314264927985643520.jpg,Protect Gun Laws,There are several people in the image.,"The image depicts a group of protestors holding signs that read ""Protect Gun Laws"" and ""Wednesday at Four Court"". The protestors are holding placards with the words ""Wednesday at Four Court"" and ""Protect Gun Laws"" written on them.",gun_control
1318172563382636544.jpg,Geraldine Thompson House District 14,There are two people in the image.,geraldine thompson is running for house district 14 in the state of california,gun_control
1368261985230483459.jpg,nothing,There are several people in the image.,"The image depicts a group of men in suits sitting in a congressional chamber. There are several people in the room, some of whom are wearing face masks, while others are standing or sitting near them. There is also a man standing behind one of the men, indicating that he is making a point or addressing the crowd.",gun_control
1350963718608351237.jpg,two men with guns in front of the state capitol,There are two people in the image.,two men with masks and guns standing in front of a building,gun_control
1370128203705094144.jpg,Make It Official HR8 require background checks for every firearm sale,There are no people in the image.,make it official hr require background checks for every firearm sale,gun_control
1367869286073704453.jpg,Do You Need a Background Check?,There are no people in the image.,do you need a background check?,gun_control
1373643996220825601.jpg,this is a drawing of a boat,There are no people in the image.,"The image shows a paper with a drawing of a boat on it. The drawing is open on a table, and there is a piece of paper next to it. There are several pieces of paper on the table, including a piece of paper with a drawing of a boat on it. There is also a piece of paper with a drawing of a boat on it, as well as a piece of paper with a drawing of a boat on it. There is also a piece of paper with a drawing of a boat on it, as well as a piece of paper with a drawing of a boat on it. There is also a piece of paper with a drawing of a boat on it, as well as a piece of paper with a drawing of a boat on it. There is also a piece of paper with a drawing of a boat on it, as well as a piece of paper with a drawing of a boat on it. There is also a piece of paper with a drawing of a boat on it, as well as a piece of paper with a drawing of a boat on it.",gun_control
1362811795581374465.jpg,None Demand Action,There is one person in the image.,"The image shows a woman wearing a red beanie with the words ""No More Demand Action"" written on it. The woman is laying in bed, smoking a cigarette while wearing the beanie.",gun_control
1370798836566884356.jpg,Z gottinia bolsonaro,There are two people in the image.,a cartoon of a man holding a gun,gun_control
1375070409842774023.jpg,gun deaths and ownership population,There are 100 people in the image.,gun deaths and ownership by country,gun_control
1328710007811153921.jpg,Stop killing us,There are no people in the image.,stop killing us - men's premium t-shirt,gun_control
1363294890457632770.jpg,Gun violence is preventable,There are many people in the image.,"A poster with the words gun violence is preventable and an image of a group of people holding signs reads, ""Gun violence is preventable.""",gun_control
1374337839886925825.jpg,Dusty wright book of tears,There are four people in the image.,the cover of the book dusty wright book of tears,gun_control
1375757068708233218.jpg,question of the day saturday ask the police,There are no people in the image.,The question of the day for saturday is displayed on a white speech bubble that reads ask the police.,gun_control
1319413497051017216.jpg,i don't know,There are no people in the image.,"The image depicts a jail cell with a view of a building, possibly a prison or jail. There is a person sitting on a bench in the corner of the room, which could indicate that someone is inside the cell. There is also a light shining through the window, which could indicate that someone is inside the cell.",gun_control
1365060283190947842.jpg,Impact Story,There are no people in the image.,an image of a gun with the text impact story,gun_control
1346856510907936769.jpg,gun sense majority elected to the u s senate,There are no people in the image.,gun sense majority elected to the u s senate,gun_control
1355223066708684804.jpg,gun violence is ravishing cts,There are no people in the image.,gun violence is ravaging cts this proposal is a mechanism to fund violence prevention programs,gun_control
1315604387608367106.jpg,a man is holding a gun in a gun shop,There are no people in the image.,A man in a white shirt is holding an AR-15 rifle in a gun store. He is aiming the gun at a target on the wall behind him.,gun_control
1356735395380277254.jpg,nra-ila Institute for Legislative Action,There are no people in the image.,the nra-ila logo on a white background,gun_control
1322994060227989505.jpg,joe biden shepherded the lamarck baby,There are 2 people in the image.,a photo of a woman with a quote from joe biden,gun_control
1375928842028716033.jpg,number of death causes,There are no people in the image.,a table showing the number of deaths caused by car accidents,gun_control
1349695692382629889.jpg,trump,There are a large number of people in the image.,"The image shows a group of people climbing up a wall in front of the United States Capitol building. There are several people on the wall, some of whom are holding signs or banners, while others are hanging from the edge of the wall. The protesters are likely part of a larger rally or demonstration taking place in Washington, D.C., to protest the election of Donald Trump as the next president of the United States.",gun_control
1364254766491193350.jpg,nra-ila Institute for Legislative Action,There are no people in the image.,the nra-ila logo on a white background,gun_control
1354169730874159106.jpg,nobody wants your damn guns,There are no people in the image.,a poster that says nobody wants your damn guns,gun_control
1334870598091206661.jpg,"Perdue/Lofferty didn't deliver for trump, don't deliver them",There are two people in the image.,a billboard with two people on it,gun_control
1312688836372242435.jpg,a man is holding a gun in a gun store,There are no people in the image.,A man in a white shirt is holding an AR-15 rifle in a gun store. He is aiming the gun at a target in front of a display of firearms.,gun_control
1356985349864525824.jpg,"The text on the image reads ""streams in 2019"".",There are two people in the image.,two pictures of a man with a gun in front of a house,gun_control
1372208453117079556.jpg,The New Ghost Gun Problem,There are no people in the image.,the new ghost gun problem,gun_control
1374316740121878529.jpg,10 people were just killed in a colorado supermarket shooting,There are 10 people in the image.,10 people were just killed in a colorado supermarket shooting,gun_control
1325766368168464384.jpg,a man is holding a gun in a gun store,There are no people in the image.,"The man in the white shirt is holding an AR-15 rifle in a gun store. He is aiming the gun at the target, indicating that he is ready to shoot.",gun_control
1374813790424944650.jpg,each governor wound cost the u s billions but nasa's not,There are several people in the image.,an image of a man in a suit with a quote from kenneth boker,gun_control
1354917816630173697.jpg,assault weapons existed before the 2nd amendment,There are no people in the image.,a poster that says assault weapons existed before the 2nd amendment,gun_control
1367880730873827328.jpg,Do You Need a Background Check?,There are no people in the image.,do you need a background check?,gun_control
1359970205611532288.jpg,san francisco,There are two people in the image.,"The image shows a man and a woman standing at a desk in an office, with a man wearing a face mask and a woman wearing a dress shirt. They are both wearing protective masks to protect themselves from the coronavirus, which is currently affecting many parts of the world.",gun_control
1357917464022106114.jpg,The text on the image says good violence bad violence.,There are two people in the image.,an image of a woman standing in front of a chalkboard with the words good violence bad violence written on it,gun_control
1370045544417144832.jpg,breaking universal just voted the house,There are two people in the image.,a screenshot of a text message from a phone,gun_control
1342857647326961664.jpg,olympics,There are two people in the image.,a woman is shooting a shotgun during a competition,gun_control
1340570930506944512.jpg,gun control activities when someone breaks into their house with an illegally owned gun,There are no people in the image.,a cartoon character with the text gun control activities when someone breaks into their house with an illegally owned gun,gun_control
1372188257744785415.jpg,safe gun storage checklist,There are no people in the image.,a poster with the words safe gun storage checklist,gun_control
1364311658244505601.jpg,"nafta, stockpile, checkpoint, criminals",There are no people in the image.,"The image shows a group of traffic cones on a sidewalk, along with a sign that reads ""Closed for the Holidays."" This sign indicates that the area is closed for the holiday season, which could be due to a number of reasons, such as a snowstorm, a natural disaster, or an active shooter situation.",gun_control
1374521457879912451.jpg,boulder,There are no people in the image.,a heart shaped sticker with the colorado flag and the word boulder,gun_control
1358165191985299456.jpg,The text on the image says come and take it.,There are no people in the image.,an image of a cannon with the words come and take it written on it,gun_control
1363623799095189505.jpg,i don't want to be president when i grow up,There are two people in the image.,a cartoon of a boy sitting on the floor in a classroom with a speech bubble,gun_control
1370099231214739461.jpg,u passes house biden's nba gun control,There are no people in the image.,u.s. passes house biden's gun control,gun_control
1356915219579166720.jpg,new gun control resolution blasted as want insanity registers bans and restrictions,There are no people in the image.,new gun control resolution blasted as want insanity,gun_control
1342455374499209217.jpg,neil degrasse tyson collected many evidence collected from many locations,There are no people in the image.,neil degrasse tyson has collected many pieces of evidence collected from many locations,gun_control
1375507344876969986.jpg,homicides by firearm per million people,There are a total of 1 million people in the image.,homicides by firearm per million people in 2017,gun_control
1366871201138827269.jpg,Causes of gun related crime jobs racism poverty people,There are four people in the image.,"There is a pie chart that shows the causes of gun related crime, including guns, racism, poverty, and people.",gun_control
1315655252427841536.jpg,we must supreme court from 131 from dictating the second,There are no people in the image.,an image of a billboard in north carolina,gun_control
1347926565070512128.jpg,School Zone Welcome Carry Concealed Carry Permit Holders in Office,There are no people in the image.,a sign that says school zone,gun_control
1375404025714196483.jpg,just found the colorado shooting share it before disappears,There are two people in the image.,an image of a man with a gun,gun_control
1375190848883863553.jpg,The text on the image reads:,There are no people in the image.,"The image shows an AR-15 rifle with a night vision scope attached to it. The rifle is placed on a diamond-patterned background, indicating that it can be used for hunting or target practice. Night vision scopes can be used to enhance the visibility of the target, enabling the shooter to see more clearly in low-light conditions. Night vision scopes can also be used to improve the accuracy of the shooter, enabling them to shoot more accurately and efficiently.",gun_control
1374503240188919812.jpg,"Blessed are the peacemakers, for they will be called children of God",There are several people in the image.,"blessed are the peacemakers, for they will be called children of god",gun_control
1368208634606284800.jpg,u.s. house of representatives,There are several people in the image.,Several men wearing face masks are standing in the middle of a room with other people sitting around them.,gun_control
1349302257142145029.jpg,joe biden admits he wants to confederate guns bingo,There are 2 people in the image.,joe biden admits he wants to have certain weapons,gun_control
1325817888926818306.jpg,when you see gun control panic remember you're not gonna go away,There are four people in the image.,"a man's head with the words, when you see gunned's control plan remember you're not gonna be completely calm away",gun_control
1361346669355425792.jpg,no intelligent species would destroy their own environment,There are four people in the image.,no intelligent species would destroy their own environment,gun_control
1319312376898912256.jpg,the after effects of gunshot wounds considered conditions protecting our health care,There are no people in the image.,a statue of a courthouse with the words protect our health care,gun_control
1369706919779315719.jpg,i proudly support the second amendment,There are no people in the image.,An image of a gun with the words i proudly support the second amendment on top of it.,gun_control
1368900841747398659.jpg,America's Freedom Defending the Second Amendment,There are no people in the image.,a sign that says america's freedom and the second amendment,gun_control
1329772834898501632.jpg,biden,There are no people in the image.,The image shows a man with his fists raised in the air while speaking into a microphone at a political event.,gun_control
1313162243035607040.jpg,thank you fl-19 let's continue the fight,There are two people in the image.,a photo of cindy banyan with the text thank you fl-19 let's continue the fight,gun_control
