img,What_does_the_text_on_image_say?,How_many_people_are_in_the_image?,Can_you_summarize_the_image_in_brief?,task
1359216975646519302.jpg,fetus,There are no people in the image.,"The image features an image of a fetus with its hands raised in front of it. The fetus appears to be in a state similar to that of a newborn, which may indicate that the fetus is still in the process of developing and growing. The fetus could be a fetus that has just been born, or it could be a fetus that has recently been born. Either way, the fetus is in a state similar to that of a newborn, which may indicate that the fetus is still in the process of developing and growing.",abortion
1178737054127198209.jpg,this is my comfort in my affliction that your promise give,There are no people in the image.,this is my comfort in my affliction that your promise give give,abortion
1250712751040679938.jpg,poland drop the bill think about your women their rights protest home,There are no people in the image.,"The image depicts a sticker with the words ""Poland drop the bill, think about your women, their rights, protest home"" on it. The sticker is placed on top of a piece of paper that reads ""Poland drop the bill, think about your women, their rights, protest home"".",abortion
1093904432423714816.jpg,abortion is normal our stories are to tell this is not a sin wicked repent,There are two people in the image.,a person is holding a sign that says abortion is normal and our stories are ours to tell not a debate,abortion
1208530707255119872.jpg,Anatomy of an Unsafe Abortion,There are two people in the image.,an image of a woman walking down a hallway with the words anatomy of an unsafe abortion by jen guttner,abortion
1303318437519855618.jpg,Catholics choice,There are two people in the image.,"a photo of a woman with the caption, catholics choice",abortion
1062406067886338048.jpg,Build this wall,There are no people in the image.,a purple shirt with the words build this wall on it,abortion
1286397296532389888.jpg,be a pro rather than anti-autism having positive goals in life,There are no people in the image.,"The image depicts a quote written on a piece of paper with a purple background. The quote reads, be a pro rather than an anti-athlete, having a positive goal, and having a positive outlook on life.",abortion
1118850436197490688.jpg,Stop abortion now,There are several people in the image.,The image depicts a group of people holding a stop abortion now sign in front of the Supreme Court building. The protesters are holding the sign in support of an anti-abortion campaign.,abortion
1182592928046309378.jpg,i feel there are decisions that should be made in the northern ireland by the devolved assembly,There are 2 people in the image.,a man in a suit with a quote from sir bernard bernard,abortion
1309667828367339520.jpg,legal on women's report,There are no people in the image.,an image of a map showing the legal status of women's rights in different parts of the world.,abortion
1048406402329264129.jpg,baby born alive during a 24 hour abortion done at a florida abortion clinic,There are two people in the image.,a baby born alive during a 24 hour abortion done at a florida clinic,abortion
1290482006627741696.jpg,The text on the image reads if not now when?,There are four people in the image.,a group of people holding a sign that reads if not now when?,abortion
1097874618013106177.jpg,The text on the image reads choose life.,There are two people in the image.,A man is holding a baby in front of a black background with the words choose life written on it.,abortion
1050029966262382593.jpg,pope kissing a baby,There are two people in the image.,Pope Francis is seen kissing a small child as he holds him in his arms.,abortion
1237926543181127681.jpg,mother holding baby,There are two people in the image.,A woman is holding her baby in a grassy field. She smiles as she holds her baby and smiles at the camera.,abortion
1352133840970665984.jpg,image of a man wearing a suit and tie in front of an american flag,There is one person in the image.,The image shows a man in a suit and tie standing in front of an American flag.,abortion
1205239693048197127.jpg,bishop larry jackson explains why black pastors need to speak out against abortion,There are 2 people in the image.,bishop larry jackson explains why black pastors need to speak out against abortion,abortion
1205874268388634632.jpg,Dr. Mott's Perinatal Female Pills,There are no people in the image.,an advertisement for dr mott's peroral female pills,abortion
1103111264786477056.jpg,media release life may 2013,There are no people in the image.,a letter from the church of england to the federal government,abortion
1039267861057814528.jpg,The text on the image reads posh scum political death.,There are no people in the image.,"An image of a glass door with graffiti written on it that reads ""posh scum"" and ""political death"".",abortion
1306352179121397760.jpg,The text on the image reads love you both.,There are two people in the image.,"The image shows a woman drawing a heart with chalk on the sidewalk. She is using a marker to write the words ""love you both"" on the sidewalk.",abortion
1163936804006977536.jpg,tennessee,There are three people in the image.,"The image features a man in a red tie shaking hands with several women in a courtroom. There is also a woman wearing a red dress shirt, which indicates that she is part of the courtroom. There is also a woman wearing a blue dress shirt, which indicates that she is not part of the courtroom. There is also a woman wearing a black dress shirt, which indicates that she is not part of the courtroom. There is also a woman wearing a white dress shirt, which indicates that she is not part of the courtroom. There is also a woman wearing a green dress shirt, which indicates that she is not part of the courtroom. There is also a woman wearing a purple dress shirt, which indicates that she is not part of the courtroom. There is also a woman wearing a blue dress shirt, which indicates that she is not part of the courtroom. There is also a woman wearing a red dress shirt, which indicates that she is not part of the courtroom. There is also a woman wearing a blue dress shirt, which indicates that she is not part of the courtroom. There is also a woman wearing a",abortion
1151002554672779264.jpg,from there is what the system is what the system is what the system is what the system is what the system is what the system is what the system is what the system is what the system is what the system is what the system is what the system is what the system is what the system is what the system is what the system is what the system is what the system is what the system is what the system is what the system is what the system is what the system is what the system is what the system is what the system is what the system is what the system is what the system is what the system is what the system is what the system is what the system is what the system is what the system is what the system is what the system is what the system is what the system is what the system is what the system is what the system is what the system is what the system is what the system is what the system is what the system is what the system is what the system is what the system is what the system is what the system is what the system is what the system is what the system is what the system is what the system is what the system is what the system is what the system is what the system is what the system is what the system is,There are no people in the image.,an iphone screen with a text on it,abortion
1134105736122916864.jpg,fuck your abortion ban,There are no people in the image.,a pink background with the words fuck your abortion ban,abortion
1052412036334972928.jpg,the new york times,There are two people in the image.,a screenshot of a facebook page with a woman in green,abortion
1351584272730124288.jpg,williamette week,There are no people in the image.,a facebook page with a message about the williamette week,abortion
1180535187387473920.jpg,Stand up for this sunday find a life chain your area,There are many people in the image.,a group of people holding signs that say stand up for this sunday find a life chain in your area,abortion
1075239391017209857.jpg,I am the Pro Life Generation,There are four people in the image.,three young women holding signs that say i am the pro life generation,abortion
1186649673211273218.jpg,obamacare,"There are several people in the image, including a man, a woman, and several children.","The image depicts a man standing at a podium in front of a large group of people, including children and adults. The man is holding up a sign with his name on it as he speaks to the audience. There is also a camera nearby, which could be used to document the event.",abortion
1357737258078642180.jpg,Human rights when a small human life begins justice,There are three people in the image.,a group of people holding up a sign that says human rights when a human's life begins,abortion
1157672664661499909.jpg,Pro Life,There are two people in the image.,Two women wearing pro life tank tops standing in front of a pink brick wall,abortion
1143827609471655937.jpg,girl sitting on floor,There is one person in the image.,"The image depicts a young girl sitting on the floor of a hallway, with her head down and her hands in her lap. The girl's expression is sad and depressed, suggesting that she may be experiencing some sort of mental health issue or trauma.",abortion
1134337742379409408.jpg,pacifier,There are no people in the image.,"The image shows a newborn baby laying in a hospital bed with a green pacifier in its mouth. The baby is wearing a white headband and has a green pacifier in its mouth. The pacifier can be used to soothe a baby's teething pain, as well as to help the baby sleep peacefully.",abortion
1223609165559607296.jpg,rise and fall,The image contains a number of people.,a graph showing the number of births and deaths in the united states,abortion
1166340376531263490.jpg,079 Part 1 Fighting for the Uniform The Pro-Life Case Explained,There are no people in the image.,"part 1 fighting for the uniform, the pro-life case explained",abortion
1238451830163746818.jpg,"Buy one, get one free life",There are two people in the image.,"a girl is holding up two books with the text buy one, get one free kids",abortion
1070553429007892481.jpg,mother kissing baby,There are two people in the image.,A woman is holding her baby and kissing her face.,abortion
1074809036380483585.jpg,oklahoma,There is one person in the image.,a man in a suit and tie is smiling in front of an american flag,abortion
1212685280098095104.jpg,I'm pro life,There are no people in the image.,"The image depicts a newborn baby laying on a bed with a blue poster that reads, ""I'm pro-life."" The poster features a photo of a baby with a blue shirt and a blue blanket. It also includes the words, ""I'm pro-life"" in the upper right corner of the poster. The poster is part of a campaign by Youth for Life International, a non-profit organization that aims to improve the lives of young people around the world.",abortion
1040359568407183361.jpg,The text on the image reads:,There are no people in the image.,"The image shows a long hallway in a hospital, with doors and windows on either side of the hallway. It is likely to be a corridor used by patients or visitors to the hospital, as well as a common space for staff and visitors to gather and socialize.",abortion
1182864092437995520.jpg,protest,There are several people in the image.,"The image features a group of police officers standing on a street in front of a large building. They are wearing yellow vests and carrying signs, which indicate that they are part of a protest or demonstration. There is also a person riding a horse in the background, which indicates that they are part of a larger group of people.",abortion
1285589421656612865.jpg,"You Know What You Need if that's an abortion, help's available",There are no people in the image.,"The image depicts a poster with the message, ""You Know What You Need If It's an Abortion, Help Is Available"" in a blue and yellow color scheme.",abortion
1366085648189435905.jpg,nothing,There are four people in the image.,"The image depicts a group of young girls standing in front of a man, holding water bottles. There is also a man with a beard and a pair of glasses standing next to the girls, suggesting that they are part of a larger group. There are several cars in the parking lot, suggesting that there are multiple vehicles present in the scene.",abortion
1181235194637910016.jpg,a chilled society does not mother against child discrimination is weakest members,There are two people in the image.,"a woman holding a baby with the quote, a chilled society does not mother against child and discriminate against its weakest members",abortion
1212079398536597507.jpg,This is what an abortion looks like,There are two people in the image.,this is what an abortion looks like,abortion
1220039080668540928.jpg,Abortion is safe and still legal,There are no people in the image.,Abortion is safe and still legal is written on a blue background with the words abortion is safe and still legal.,abortion
1093660725095075840.jpg,ny governor,There is one person in the image.,a man in a suit and tie giving a speech,abortion
1220356073497874434.jpg,"Warning: This is not a surgical instrument, keep abortion safe and legal",There are no people in the image.,a hanger that says warning this is not a surgical instrument keep abortion safe and legal,abortion
1283039546813362179.jpg,adolescence is the leading cause of death in the united states,There are no people in the image.,adolescence is the leading cause of death in the united states,abortion
1165816501108187136.jpg,in 2015 a baby girl was aborted water bag,There are no people in the image.,a baby girl was born in 2015,abortion
1248294689234616321.jpg,While already suffering in silence social distancing does not help them,There are two people in the image.,a woman is suffering in social silence and social distancing does not help her,abortion
1185668257749110784.jpg,profile obgyns as experienced practitioners and gynecologists in an effort to save the life of a pregnant woman,There are no people in the image.,profile obgyns as experienced practitioners and gynaecologists in obstetrics and gynaecology,abortion
1075048550206201857.jpg,Stop Your Abortion,There are no people in the image.,a poster with the words shout your abortion on it,abortion
1077740279711567873.jpg,Degree of dependency does not determine humanity,There are two people in the image.,"An image of a pregnant woman and an astronaut with the caption, ""Degree of Dependency Does Not Determine Humanity."" The image shows a pregnant woman and an astronaut with the caption, ""Degree of Dependency Does Not Determine Humanity."" The image shows a pregnant woman and an astronaut with the caption, ""Degree of Dependency Does Not Determine Humanity."" The image shows a pregnant woman and an astronaut with the caption, ""Degree of Dependency Does Not Determine Humanity."" The image shows a pregnant woman and an astronaut with the caption, ""Degree of Dependency Does Not Determine Humanity."" The image shows a pregnant woman and an astronaut with the caption, ""Degree of Dependency Does Not Determine Humanity."" The image shows a pregnant woman and an astronaut with the caption, ""Degree of Dependency Does Not Determine Humanity."" The image shows a pregnant woman and an astronaut with the caption, ""Degree of Dependency Does Not Determine Humanity."" The image shows a pregnant woman and an astronaut with the caption, ""Degree of Dependency Does Not Determine Humanity."" The image shows a pregnant woman and an astronaut with the",abortion
1364636406379905027.jpg,I don't believe in forced paternity,There are three people in the image.,"Several women are holding pink signs in a city with a bus passing by. The signs read, ""I don't want to be a parent"" and ""i don't want to be a prostitute"".",abortion
1209114441238929408.jpg,abortion represents a society that believes the mother is a disease,There are two people in the image.,a woman holding a sign that says abortion promotes a society that devalues women,abortion
1165231049259061249.jpg,seaweed,There are no people in the image.,"The image features a close-up of a large amount of seaweed, which is likely to have been collected from the beach or ocean. The seaweed may have been used as a material for fishing nets, netting, or other applications.",abortion
1363118710840459269.jpg,Join us!,There is one person in the image.,"The image shows a woman holding up a white paper with the words ""join us"" written on it.",abortion
1190091099529986048.jpg,how does ru-486 work?,There are two people in the image.,a silhouette of a pregnant woman with the text how does the ru-486 pill work?,abortion
1145735866297540609.jpg,Your account has been locked,There are two people in the image.,a screen shot of a twitter account with a message that says your account has been locked,abortion
1166713319794925568.jpg,we do what we gotta do to get a job,There are four people in the image.,a cartoon showing a mother and her baby,abortion
1116344545770385409.jpg,pregnant woman,There is one person in the image.,"The image depicts a pregnant woman in a white shirt standing in a room with a window. She is holding her stomach, indicating that she is pregnant and ready to give birth. Pregnancy can be a challenging time for both the mother and the baby, as it requires a lot of physical and emotional changes. Pregnant women are often advised to maintain a healthy diet, exercise regularly, and take prenatal vitamins to ensure a healthy pregnancy.",abortion
1148977082904535040.jpg,Project Love's Annual Rose and Dane Breakfast,There are no people in the image.,a flyer for project love's 15th annual daniel and diane breakfast,abortion
1150566948192882688.jpg,Respect Life from Conception to Natural Death,There are no people in the image.,respect life from conception to natural death,abortion
1116317486222278656.jpg,smile,There are no people in the image.,a baby with blue eyes is smiling while sitting on a chair,abortion
1081597919726190592.jpg,There is no text on the image.,There are no people in the image.,"The image shows a small office space with a desk, a chair, and a computer. There is also an eye chart on the wall, which indicates that the room is used for medical purposes.",abortion
1082694387627446272.jpg,it's up to us,There are a large number of people in the image.,"The image depicts a group of people holding signs during a protest, possibly in support of a specific cause or issue. There is a large number of people in the image, and some of them are holding signs with images of a woman's genitals on them. Some of the signs may be related to a specific issue, such as gender equality or women's rights.",abortion
1186697620753932293.jpg,Abortion is the leading cause of death,There are no people in the image.,abortion is the leading cause of death,abortion
1361779131529056256.jpg,How Irish Pros Saved Hundreds of Thousands of Lives Part 1,There are four people in the image.,how irish pro's saved hundreds of thousands of lives,abortion
1158562414146641920.jpg,brads are hazard,There are a large number of people in the image.,"The image shows a group of people holding a sign that reads, ""Brads are a hazard"" or ""Brads are a hazard"". There is a fence in the background, which could be a barrier to prevent people from entering the area. People are standing near the fence and holding signs that read, ""Brads are a hazard"", ""Brads are a hazard"", or ""Brads are a hazard"".",abortion
1352707849663651840.jpg,Roe v Wade didn't win,There are two people in the image.,a photo of a child with the words roe v wade didn't win,abortion
1095716203786629123.jpg,samuel e protection,There are six people in the image.,"The image depicts a group of people standing behind a podium in front of several flags, including the United States flag and the State of Texas flag. There is also a woman standing behind the podium, wearing a suit and a tie. She is standing next to a podium with a sign that reads ""Women's Protection 2"". A number of people are standing behind the podium, including a man, a woman, and a child. They are all standing in front of a podium with a sign that reads ""Women's Protection 2"".",abortion
1167426794510868480.jpg,Late term abortion offers parents baby before diaphragm,There are no people in the image.,"A website page with a picture of a baby in a box with a message that reads, ""Last term abortion offers parents the chance to have their babies before they are disposed of.""",abortion
1151124535749615618.jpg,Saved by abortion pill rescue,There are two people in the image.,two babies are being held by a person with the text saved by abortion pill rescue,abortion
1020416826801639424.jpg,it's an unfair provision and does directly the opposite of what it's intended to do,There are no people in the image.,it's an unfair division and does directly the opposite of what it's intended services to do,abortion
1359732744763305988.jpg,the party divide and misinterpretation about unfpa about its real impact on women and girls,There are 2 people in the image.,a black woman with a quote,abortion
1067093121819860994.jpg,a family posing in front of a christmas tree,There are four people in the image.,A family is posing for a picture in front of a christmas tree.,abortion
1156919515009179648.jpg,Southern California Defending Life Conference,There are no people in the image.,the logo for the southern california defending life conference,abortion
1110186158305226752.jpg,ask your state representative to vote yes on pro life,There are two people in the image.,a hand holding a baby's foot with the words ask your state representative to vote yes on pro life,abortion
1191368090719797249.jpg,profile a person who acknowledges the fact that a new human life is created,There are no people in the image.,a person who acknowledges the fact that a new human life is created by fertilization,abortion
1278404940491378688.jpg,ask your mp to support an amendment to the domestic abuse bill to protect pregnant women in abusive relationships,There are 12 people in the image.,ask your mp to support an amendment to the domestic abuse bill to protect pregnant women from abusive relationships,abortion
1074731687697899520.jpg,"The text on the image reads, ""Abortion takes self care.""",There are three people in the image.,a billboard that says abortion is self care for black women,abortion
1272560725161115653.jpg,Not again,There are no people in the image.,"The image depicts a sign that reads ""Not Again"" in the middle of a city street. The sign is attached to a clothing hanger, which has blood on it.",abortion
1076918729697619968.jpg,wanababies open the blinds womb,There are no people in the image.,a cartoon of a baby in a window with the words open the blinds womb,abortion
1191753006431318016.jpg,global abortion legal available accessible the nasa summit cd20,There are no people in the image.,a blue and white poster with the words safe abortion legal available accessible,abortion
1133412515101102080.jpg,I don't want a body for my choice,There are several people in the image.,"The image depicts a group of people holding up signs in a building with a ceiling decorated with ornate details. The protesters are holding up signs that read, ""Body for my choice"" or ""Body for my choice."" The protesters may be protesting a specific issue, such as reproductive rights or the right to choose one's own body.",abortion
1230994496692740096.jpg,women's rights should not be taken away from them,There are no people in the image.,"The image depicts a white bus with a sign that reads, ""Women's rights should not be taken away from them."" The bus is parked on the side of a street.",abortion
1352666276909477888.jpg,I support Roe V Wade,There are two people in the image.,a hand holding a sign that says i support roe v. wade,abortion
1048739845240246272.jpg,red alert abortion rights at risk for more than 22 million women,There are no people in the image.,red alert abortion rights are at risk for more than 22 million women,abortion
1293302858369118208.jpg,biden harris,There are no people in the image.,biden harris is running for president of the united states,abortion
1270386682655920130.jpg,White pills scattered on a blue background.,There are no people in the image.,Several white pills are scattered on a blue background. These pills are likely to be used as a medication or treatment for a medical condition.,abortion
1308598529653440516.jpg,america's position on the month of abortion,There are 0 people in the image.,america's position on the month of abortion,abortion
1042788697215823872.jpg,she is a child every life matters,There are three people in the image.,"Three women are posing for a photo in front of a building, holding a sign that reads ""She is a Child"". One of the women is holding a sign that reads ""She is a Child"", while the other woman is holding a sign that reads ""She Is a Child"". The three women are posing for a photo in front of a building, with one of them holding a sign that reads ""She is a Child"" and the other holding a sign that reads ""She is a Child"".",abortion
1363949181128249348.jpg,alzheimer's is indiscriminately different from other medical products,There are two people in the image.,alzheimer's disease is not the same as other medical conditions because of personal life,abortion
1206983661767266305.jpg,ultrasound,There are two people in the image.,"The image depicts a pregnant woman being examined by a doctor in a medical office. The doctor is using an ultrasound machine to examine the pregnant woman's abdomen, which is likely to be used during pregnancy. The ultrasound machine can be used to detect abnormalities in the baby's heartbeat, as well as to monitor the baby's growth and development.",abortion
1287774158714175490.jpg,states with restricted access to abortion have higher rates of infant and maternal deaths,There are no people in the image.,states with restricted access to abortion higher rates of infant and maternal deaths,abortion
1362647547945361409.jpg,The text on the image says think outside my box.,There are two people in the image.,a person holding a sign that says think outside my box,abortion
1357754632848756742.jpg,Pro-life,There are two people in the image.,An image of a hand holding a baby's hand with the words pro-life written on it.,abortion
1172949634928599041.jpg,get ya hand off it,There are two people in the image.,a tweet that says get ya hand off it,abortion
1057989971569561600.jpg,Abortion Support Network,There are no people in the image.,a poster for the abortion support network,abortion
1101566787156656129.jpg,"it's not pro life to point the far right with extremist, dangerous, and liars about abortion",There are no people in the image.,a black and white background with a quote about abortion,abortion
1125783824099471360.jpg,georgia governor signs heartbeat abortion bill,There are four people in the image.,a screenshot of the georgia governor signing a heartbeat abortion bill,abortion
1168925377886076928.jpg,one half reproductive women medicaid live in state restrictive abortion coverage,There are 2 people in the image.,one half of reproductive women medicaid live in state,abortion
1048289435761221632.jpg,and then about triplets,There are no people in the image.,"The image depicts a baby's feet in a white blanket with a quote that says, ""And when you think about the most precious moments of your life, the most precious moments of your life are the moments you spend with your baby."" The image also includes a blue heart with a quote that says, ""And when you think about the most precious moments of your life, the most precious moments of your life are the moments you spend with your baby."" The image is accompanied by a quote that says, ""And when you think about the most precious moments of your life, the most precious moments of your life are the moments you spend with your baby.""",abortion
1110587829095153665.jpg,kansas house passes important prolife life hb 2 244 on a 883,There are two people in the image.,kansas house passes important prolife bill,abortion
1283036531486273538.jpg,Examples of Delivery Models for Telemedicine Abortion,There are four people in the image.,a diagram showing examples of delivery models for telemedicine therapy abortion,abortion
1182005931606982657.jpg,Abortion myth Abortion has no side effects for women,There are two people in the image.,Abortion myth: abortion has no side effects for women,abortion
1146788473241817088.jpg,a,There are no people in the image.,"The image features a teddy bear playing with a wooden block and a rocking horse. The teddy bear is sitting next to the letter A, which represents the first letter of the alphabet.",abortion
1168887794430816256.jpg,did you know abortion in the u s has killed times more than 10 nazis as in the holocaust,1,abortion in the u s has killed times more than 10 nazi nazis killing in the holocaust,abortion
1183794396975763457.jpg,california,There are two people in the image.,two people with glasses and a woman in a suit,abortion
1239189722716688385.jpg,perapa you're just ready to become a mother it's totally fine,There are two people in the image.,a hand is reaching for a ball with the text perapa's just ready to become a mother and it's totally fine,abortion
1154566274296557568.jpg,Abortion,There are no people in the image.,"An image with the word abortion written on it in a colorful, grungy style.",abortion
1217065118644756480.jpg,maternity photo,There is one person in the image.,a pregnant woman in a red dress standing in a field,abortion
1087872205621481472.jpg,abortion more any sin call upon god other justice,There are no people in the image.,a statue of mary with a quote about abortion,abortion
1105729035039109120.jpg,Planned Parenthood,There are no people in the image.,"The image depicts a building with a sign that reads ""Planned Parenthood"" and a tree in front of it.",abortion
1220090613414100995.jpg,Abortion is safe and still legal,There are no people in the image.,Abortion is safe and still legal is written on a blue background with the words abortion is safe and still legal.,abortion
1201561811918708742.jpg,14 149 991 children rescued,There are 14 people in the image.,The image depicts a blue background with the words 14 591 children rescued on a green background. The text reads: 14 591 children rescued.,abortion
1136180841338609665.jpg,the guardian,There are two people in the image.,a woman is speaking into a microphone at a conference,abortion
1282909326324011010.jpg,an image of a baby with a crown of thorns,There are no people in the image.,a painting of a baby with a crown of thorns on his head,abortion
1204463159144329216.jpg,no text,There are two people in the image.,"The image features a group of people sitting in chairs and holding microphones. A man and a woman can be seen sitting next to each other, with one holding a microphone and the other speaking into the microphone. There is also a tree in the background, suggesting that the event is taking place outdoors.",abortion
1284227630296948738.jpg,icu mobile,There are two people in the image.,"The image depicts a woman smiling at her baby while laying on a wooden floor. The baby is lying on a towel, which suggests that the mother is taking care of the child. The woman is holding a mobile phone in her hand, which indicates that she is using it to take a photo or video of the baby.",abortion
1195117707210973184.jpg,baby bottle with coins,There are no people in the image.,a baby bottle filled with coins on a white background,abortion
1277722547765702656.jpg,an african-american supreme court justice,There is one person in the image.,a black man in a judge's robe is posing for a photo,abortion
1061520238225842182.jpg,people sitting in a room,There are a large number of people in the image.,"The image shows a large group of people sitting in chairs and listening to a lecture or presentation. Some of the people are wearing business attire, while others are dressed casually. There is also a person sitting in the middle of the room with a laptop computer.",abortion
1215438308936966150.jpg,"believe women's movements will create a world where every woman and girls are strong, powerful, and safe",There are many people in the image.,women's movements will create a world where every woman and girl is strong no exceptions,abortion
1128796906203824128.jpg,You will never end abortion you will only end safe abortions,There are no people in the image.,you will never end abortion you will only end safe abortions,abortion
1210549682264563712.jpg,i love you so much,There are two people in the image.,an image of a woman holding a baby in her arms,abortion
1262414988557385731.jpg,"1,600,779 confirmed cases",The image contains a map showing the number of confirmed cases in the United States.,a map showing the number of confirmed cases in the united states,abortion
1080546517897936897.jpg,Abortion killed 44 million people in 2018,There are four people in the image.,abortion killed 44 million people in 2018,abortion
1174417312948150273.jpg,"The text on the image reads, 'the national march for life feb. 21, 2014'.",There are several people in the image.,"A black and white photo of a group of people holding a banner that reads the national march for life on march 21, 2014.",abortion
1208542234364317696.jpg,nancy pelosi,There are two people in the image.,"The image features two women in white suits posing for a photo in front of several American flags. The women are likely part of a political event or ceremony, and they are likely to be representing the United States of America.",abortion
1283923370099253248.jpg,abortion hurts the woman it is an absolute tragedy for all parties,There are no people in the image.,abortion hurts the woman it is an absolute tragedy for all parties,abortion
1225855083948204032.jpg,made with true love,There are two people in the image.,a pregnant woman with the words made with true love written on her stomach,abortion
1030498588621561857.jpg,mother kissing baby,There are two people in the image.,A woman is holding her baby and kissing her face.,abortion
1364969931448713219.jpg,Don't criminalize abortion,There are a large number of people in the image.,"The image shows a crowd of people holding a sign that reads, ""Don't criminalize abortion"".",abortion
1357392548197769216.jpg,We need the reproductive freedom act now,There are two people in the image.,"A woman wearing a face mask with the text, we need the reproductive freedom act now, is standing in front of a poster that reads, we need the reproductive freedom act now.",abortion
1186582969546366976.jpg,don't for a women's rights to choose,There are a large number of people in the image.,a group of people holding signs and holding up pink signs,abortion
1194675437055676418.jpg,abortions are dangerous 10% have immediate side effects often call 911,There are no people in the image.,a black background with the text abortions are dangerous 50% have an immediate side clinics often often call 911,abortion
1141501423177359362.jpg,you can take expects from a decrepit's life will never end,There are no people in the image.,"an image of a dead body with a quote that reads, you can take expectations from a poem that describes a person's death",abortion
1248294689612222468.jpg,While already suffering in silence social distancing does not help them,There are two people in the image.,"a woman is standing in front of a poster with the text, while already suffering in social silence, social distancing does not do it for dallas",abortion
1133271388767367173.jpg,alabama horror story,There are no people in the image.,a black background with a quote from alabama horror story,abortion
1117440069135216642.jpg,highly restrictive laws do not eliminate abortion,There are two people in the image.,high restrictive laws do not eliminate abortion,abortion
1133832398431444992.jpg,Adoption is Healthcare,There is one person in the image.,"A woman is holding a pink sign that reads ""adoption is healthcare"" in front of a building.",abortion
1183791605213364224.jpg,california,There are two people in the image.,two people with glasses and a woman in a suit,abortion
1149351190733312002.jpg,abortion doesn't heal you it only creates a new wound,There are two people in the image.,"abortion doesn't heal you, it only creates a new wound",abortion
1170384289017532422.jpg,pro choice argument if we make abortion legal will still have them,There are no people in the image.,a poster with the words pro choice argument if we make abortion women will have them answer,abortion
1148501065308004357.jpg,remember that time i couldn't myself out of trouble using the stuff i found yeah me neither around,There are no people in the image.,a man with the caption remember that time i couldn't get myself out of trouble using the stuff flying around,abortion
1022558421046976512.jpg,supreme court,There are a large number of people in the image.,The image shows a group of people sitting on the steps of the supreme court building at night. They are either waiting for a court hearing or waiting to enter the building.,abortion
1255146511077265408.jpg,stethoscope,There are two people in the image.,"The image features a person holding a stethoscope in their hands. The stethoscope is wrapped around the person's hands, suggesting that the person is holding the stethoscope for medical purposes. The stethoscope is likely to be used by a medical professional, such as a doctor or nurse.",abortion
1265347753007177728.jpg,these links 2020 for ministries that want to help safety abortion,There are no people in the image.,a screenshot of a text message on a phone,abortion
1365499911672909824.jpg,nothing,There are two people in the image.,"The image depicts a newborn baby in an incubator, with a person holding it and smiling at the camera. The baby is being cared for by a medical professional, likely in a neonatal intensive care unit (NICU). It is likely that the baby is in a critical condition, such as a congenital heart defect or a severe respiratory infection.",abortion
1041487332216631297.jpg,nothing,There is one person in the image.,"The image shows a pregnant woman standing in front of a house. She is wearing a zebra-print shirt and is smiling, indicating that she is happy and excited about her pregnancy.",abortion
1226778905635360768.jpg,fire and weather forecast for october 2019,The image shows a map of the United States with a large number of people on it.,a map of the united states depicting the number of fires that have been reported across the country in 2019.,abortion
1075844288838320129.jpg,Abortion is associated with increased risk for protein delivery,There are no people in the image.,abortion is associated with a higher risk of protein delivery,abortion
1068333802580312065.jpg,Dilation and eclampsia abortion at 24 weeks gestation,There are two people in the image.,a diagram showing dilation and eclampsia abortion at a week's gestation,abortion
1278005717044207616.jpg,Archbishop Jerome Joseph Namath of the Archdiocese of Kansas City,There is one person in the image.,"archbishop jeffrey joseph naumburg, archbishop of the archdiocese of kansas city in",abortion
1031362174176788480.jpg,sophia reynolds and others,There are two people in the image.,a tweet about the death of a child,abortion
1139231035575754752.jpg,fetus,There are no people in the image.,An image of a pregnant woman with a needle in her stomach.,abortion
1225222577397915650.jpg,woman and child posing in front of an american flag,There are two people in the image.,The image shows a woman holding a child in front of an American flag. The woman is wearing a dress and the child is wearing a white shirt. The background of the image provides a sense of unity and solidarity between the woman and the child.,abortion
1176134142720917504.jpg,u m e n t r e s t i o n t i o n t i o n t i o n t i o n t i o n t i o n t i o n t i o n t i o n t i o n t i o n t i o n t i o n t i o n t i o n t i o n t i o n t i o n t i o n t i o n t i o n t i o n t i o n t i o n t i o n t i o n t i o n t i o n t i o,There are two people in the image.,a paper with handwritten notes on it,abortion
1093882676908646400.jpg,nothing,There are two people in the image.,"The image features a young black child with a smile on his face. The child is standing next to a person, likely a parent or guardian, who is taking a photo of the child.",abortion
1071109659149459457.jpg,illinois,There are no people in the image.,"The image features a large, white building with columns and a flagpole in the foreground. There is also a tree in the background, suggesting that the building is located in a city or town. The building is likely part of a government building, as there are several columns and pillars on the exterior of the building. Additionally, there is a blue sky in the background, suggesting that the building is situated in a sunny location.",abortion
1150117927879884804.jpg,Abortion and the World Wide Web of Responsibilty,There are two people in the image.,abortion and the world of irresponsibility,abortion
1120710757057028099.jpg,out of every babies diagnosed with spina bifida prematurely is terminated,There are no people in the image.,a poster that says in the us out of every baby diagnosed with spina bifida prematurely is terminated,abortion
1189890200475983883.jpg,did you know?,There are no people in the image.,an image of an australian flag with the text did you know?,abortion
1186365259382185985.jpg,New Blog Drop N.I. Abortion Declares a Victory for Human Rights,There are 4 people in the image.,New blog drop: ni abortion claim a victory for human rights,abortion
1081906833831251968.jpg,mark says that the kingdom is like a seed on the ground and god is like a seed on the ground,There are no people in the image.,"a text that reads,'mark tells us that the kingdom is like a scattering seed on the ground and the night is like a man who sleeps on the ground",abortion
